target_unit,target_head,correct_element,lexical_category,subcategory,source_target,error_variant,error_type,learner_sentence,correct_sentence,comment,source_error
bored with sth,bored,with,prepositions,adjective_preposition,statistics,of,preposition_error,Many students are bored of the same grammar tasks.,Many students are bored with the same grammar tasks.,Смешение моделей bored with и разговорного варианта bored of: в учебной модели справочника закрепляется bored with.,REALEC
busy with,busy,with,prepositions,adjective_preposition,statistics,in,preposition_error,I was busy in my homework and could not answer the phone.,I was busy with my homework and could not answer the phone.,Смешение предлогов после прилагательного busy: под влиянием русской модели «занят чем-либо / в чём-либо» учащийся может выбрать in.,REALEC
careful of,careful,of,prepositions,adjective_preposition,statistics,with,preposition_error,Students should be careful with mistakes when they write an essay.,Students should be careful of mistakes when they write an essay.,Смешение моделей careful of и careful with: в значении «остерегаться ошибок» требуется of.,REALEC
certain about,certain,about ,prepositions,adjective_preposition,statistics,in,preposition_error,"I am not certain in my answer, so I want to check it again.","I am not certain of my answer, so I want to check it again.",Смешение предлогов после прилагательного certain: под влиянием русской модели «уверен в» учащийся может выбрать in.,REALEC
certain about,certain,of,prepositions,adjective_preposition,statistics,in,preposition_error,"I am not certain in my answer, so I want to check it again.","I am not certain about my answer, so I want to check it again.",Смешение предлогов после прилагательного certain: под влиянием русской модели «уверен в» учащийся может выбрать in.,REALEC
concerned about,concerned,about ,prepositions,adjective_preposition,statistics,with,preposition_error,Teachers are concerned with the low results of the final test.,Teachers are concerned about the low results of the final test.,Смешение моделей concerned about и concerned with: здесь требуется значение беспокойства по поводу проблемы.,REALEC
concerned for,concerned,for,prepositions,adjective_preposition,statistics,of,preposition_error,She was concerned of her friend after hearing the bad news.,She was concerned for her friend after hearing the bad news.,Неверный выбор предлога после прилагательного concerned: в значении беспокойства за человека требуется for.,REALEC
confident of,confident,of,prepositions,adjective_preposition,statistics,in,preposition_error,He was confident in his success after months of hard training.,He was confident of his success after months of hard training.,Смешение предлогов после прилагательного confident: под влиянием русской модели «уверен в успехе» учащийся может выбрать in.,REALEC
confident of,confident,of,prepositions,adjective_preposition,statistics,for,preposition_error,The team was confident for victory before the final match.,The team was confident of victory before the final match.,Неверный выбор предлога после прилагательного confident: в данной модели требуется of.,REALEC
confident аbout,confident,about,prepositions,adjective_preposition,statistics,with,preposition_error,She felt confident with her plans for the future.,She felt confident about her plans for the future.,Смешение моделей confident about и конструкций с with: здесь требуется значение уверенности насчёт ситуации или плана.,REALEC
confident аbout,confident,about,prepositions,adjective_preposition,statistics,in,preposition_error,I am confident in my decision to study abroad.,I am confident about my decision to study abroad.,Смешение предлогов после прилагательного confident: под влиянием русской модели «уверен в решении» учащийся может выбрать in.,REALEC
conscious of,conscious,of,prepositions,adjective_preposition,statistics,about,preposition_error,Many teenagers are not conscious about the risks of sharing personal information online.,Many teenagers are not conscious of the risks of sharing personal information online.,Смешение предлогов после прилагательного conscious: в значении «осознающий что-либо» требуется of.,REALEC
crazy about,crazy,about,prepositions,adjective_preposition,statistics,of,preposition_error,My younger brother is crazy of computer games and plays them every evening.,My younger brother is crazy about computer games and plays them every evening.,Смешение предлогов после прилагательного crazy: под влиянием русской модели «без ума от» учащийся может выбрать of.,REALEC
crazy about,crazy,about,prepositions,adjective_preposition,statistics,on,preposition_error,She is crazy on music and listens to it all day.,She is crazy about music and listens to it all day.,Смешение предлогов после прилагательного crazy: под влиянием русской модели «помешан на» учащийся может выбрать on.,REALEC
curious about,curious,about,prepositions,adjective_preposition,statistics,of,preposition_error,Young children are often curious of everything around them.,Young children are often curious about everything around them.,Смешение предлогов после прилагательного curious: в значении интереса к чему-либо требуется about.,REALEC
curious about,curious,about,prepositions,adjective_preposition,statistics,in,preposition_error,Many students are curious in different cultures and traditions.,Many students are curious about different cultures and traditions.,Смешение моделей curious about и interested in.,REALEC
delighted with,delighted,with,prepositions,adjective_preposition,statistics,of,preposition_error,She was delighted of the present she received from her friends.,She was delighted with the present she received from her friends.,Неверный выбор предлога после прилагательного delighted: в значении «довольный чем-либо» требуется with.,REALEC
delighted with,delighted,with,prepositions,adjective_preposition,statistics,from,preposition_error,The teacher was delighted from the students’ progress.,The teacher was delighted with the students’ progress.,Смешение предлогов после прилагательного delighted: под влиянием русской модели «рад от» учащийся может выбрать from.,REALEC
dependent on,dependent,on,prepositions,adjective_preposition,statistics,from,preposition_error,Many teenagers are dependent from their parents financially.,Many teenagers are dependent on their parents financially.,Смешение предлогов после прилагательного dependent: под влиянием русской модели «зависимый от» учащийся может выбрать from.,REALEC
dependent on,dependent,on,prepositions,adjective_preposition,statistics,of,preposition_error,The result is dependent of many different factors.,The result is dependent on many different factors.,Неверный выбор предлога после прилагательного dependent: в значении зависимости требуется on.,REALEC
disappointed with,disappointed,with,prepositions,adjective_preposition,statistics,in,preposition_error,I was disappointed in the result of the competition.,I was disappointed with the result of the competition.,"Смешение моделей disappointed with something и disappointed in somebody: здесь речь идёт о результате, поэтому требуется with.",REALEC
disappointed with,disappointed,with,prepositions,adjective_preposition,statistics,about,preposition_error,The teacher was disappointed about my answer in the test.,The teacher was disappointed with my answer in the test.,Смешение моделей disappointed with и disappointed about: в данной модели справочника проверяется управление with.,REALEC
engaged to sb,engaged,to,prepositions,adjective_preposition,statistics,with,preposition_error,She is engaged with a young doctor from Moscow.,She is engaged to a young doctor from Moscow.,Смешение моделей engaged to somebody и engaged with somebody: в значении помолвки требуется предлог to.,REALEC
enthusiastic about,enthusiastic,about,prepositions,adjective_preposition,statistics,in,preposition_error,Many students are enthusiastic in learning foreign languages.,Many students are enthusiastic about learning foreign languages.,Смешение предлогов после прилагательного enthusiastic: под влиянием русской модели «заинтересован в / увлечён в» учащийся может выбрать in.,REALEC
enthusiastic about,enthusiastic,about,prepositions,adjective_preposition,statistics,for,preposition_error,She was enthusiastic for the new school project.,She was enthusiastic about the new school project.,Неверный выбор предлога после прилагательного enthusiastic: в значении энтузиазма по поводу чего-либо требуется about.,REALEC
excellent at,excellent ,at,prepositions,adjective_preposition,statistics,in,preposition_error,She is excellent in English and always gets high marks.,She is excellent at English and always gets high marks.,Смешение предлогов после прилагательного excellent: под влиянием русской модели «хорош/отличен в чём-либо» учащийся может выбрать in.,REALEC
excited about,excited ,about,prepositions,adjective_preposition,statistics,of,preposition_error,She was excited of the idea of studying abroad.,She was excited about the idea of studying abroad.,Неверный выбор предлога после прилагательного excited.,REALEC
excited about,excited ,about,prepositions,adjective_preposition,statistics,with,preposition_error,Many students were excited with the new project.,Many students were excited about the new project.,"Смешение управления excited about с другими моделями прилагательных, которые употребляются с with.",REALEC
familiar to sb,familiar ,to,prepositions,adjective_preposition,statistics,for,preposition_error,This situation is familiar for many students before exams.,This situation is familiar to many students before exams.,Смешение предлогов после прилагательного familiar: под влиянием русской модели «знакомый для кого-либо» учащийся может выбрать for.,REALEC
famous for,famous ,for,prepositions,adjective_preposition,statistics,with,preposition_error,London is famous with its museums and historical buildings.,London is famous for its museums and historical buildings.,Смешение предлогов после прилагательного famous: под влиянием русской модели «известен своими» учащийся может выбрать with.,REALEC
famous for,famous ,for,prepositions,adjective_preposition,statistics,of,preposition_error,This writer is famous of his novels about school life.,This writer is famous for his novels about school life.,Неверный выбор предлога после прилагательного famous: в значении «известный чем-либо» требуется for.,REALEC
fed up with,fed up ,with,prepositions,adjective_preposition,statistics,from,preposition_error,I am fed up from doing the same homework every day.,I am fed up with doing the same homework every day.,Смешение предлогов после выражения fed up: под влиянием русской модели «устал от» учащийся может выбрать from.,REALEC
fed up with,fed up ,with,prepositions,adjective_preposition,statistics,of,preposition_error,Many students are fed up of preparing for tests every week.,Many students are fed up with preparing for tests every week.,Смешение модели fed up with и разговорного варианта fed up of; в учебной модели закрепляется with.,REALEC
fond of,fond ,of,prepositions,adjective_preposition,statistics,with,preposition_error,She is fond with animals and wants to become a vet.,She is fond of animals and wants to become a vet.,Неверный выбор предлога после прилагательного fond: в значении увлечения или привязанности требуется of.,REALEC
frightened of,frightened,of,prepositions,adjective_preposition,statistics,from,preposition_error,Many children are frightened from big dogs in the street.,Many children are frightened of big dogs in the street.,Смешение предлогов после прилагательного frightened: под влиянием русской модели «бояться / быть испуганным от» учащийся может выбрать from.,REALEC
full of,full,of,prepositions,adjective_preposition,statistics,with,preposition_error,The classroom was full with students before the lesson started.,The classroom was full of students before the lesson started.,Смешение предлогов после прилагательного full: под влиянием русской модели «полный чем-либо» учащийся может выбрать with.,REALEC
good at sth,good,at,prepositions,adjective_preposition,statistics,in,preposition_error,"I am good in English, but I still need to practise speaking.","I am good at English, but I still need to practise speaking.",Смешение предлогов после прилагательного good: под влиянием русской модели «хорош в чём-либо» учащийся может выбрать in.,REALEC
good at sth,good,at,prepositions,adjective_preposition,statistics,with,preposition_error,She is good with solving difficult problems quickly.,She is good at solving difficult problems quickly.,"Смешение моделей good at something и good with something: здесь речь идёт о виде деятельности, поэтому требуется at.",REALEC
good for sb/sth,good,for,prepositions,adjective_preposition,statistics,to,preposition_error,Regular exercise is good to your health and helps you feel better.,Regular exercise is good for your health and helps you feel better.,мешение предлогов после прилагательного good: под влиянием русской модели «хорошо для / полезно для» учащийся может выбрать to.,REALEC
happy for sb,happy,for,prepositions,adjective_preposition,statistics,about,preposition_error,I am really happy about my friend because she passed her final exam.,I am really happy for my friend because she passed her final exam.,"Смешение моделей happy for somebody и happy about something: здесь речь идёт о человеке, за которого испытывают радость.",REALEC
happy for sb,happy,for,prepositions,adjective_preposition,statistics,with,preposition_error,She was happy with her brother when he won the competition.,She was happy for her brother when he won the competition.,Смешение моделей happy for somebody и happy with something/somebody: в данном контексте требуется значение «рад за кого-либо».,REALEC
harmful to,harmful,to,prepositions,adjective_preposition,statistics,for,preposition_error,Fast food can be harmful for teenagers’ health if they eat it every day.,Fast food can be harmful to teenagers’ health if they eat it every day.,Смешение предлогов после прилагательного harmful: под влиянием русской модели «вредный для» учащийся может выбрать for.,REALEC
harmful to,harmful,to,prepositions,adjective_preposition,statistics,on,preposition_error,Air pollution is harmful on the environment and people’s health.,Air pollution is harmful to the environment and people’s health.,Неверный выбор предлога после прилагательного harmful: в значении вредного воздействия требуется to.,REALEC
hopeless at sth,hopeless,at,prepositions,adjective_preposition,statistics,in,preposition_error,"I am hopeless in maths, so I always ask my friend for help.","I am hopeless at maths, so I always ask my friend for help.",Смешение предлогов после прилагательного hopeless: под влиянием русской модели «безнадёжен в чём-либо» учащийся может выбрать in.,REALEC
identical to,identical,to,prepositions,adjective_preposition,statistics,as,preposition_error,My answer was identical as my friend’s answer.,My answer was identical to my friend’s answer.,Смешение модели identical to с конструкцией the same as: после identical требуется предлог to.,REALEC
independent of,independent,of,prepositions,adjective_preposition,statistics,from,preposition_error,Young people want to become independent from their parents as soon as possible.,Young people want to become independent of their parents as soon as possible.,Смешение предлогов после прилагательного independent: под влиянием русской модели «независимый от» учащийся может выбрать from.,REALEC
independent of,independent,of,prepositions,adjective_preposition,statistics,on,preposition_error,The final result should be independent on personal opinions.,The final result should be independent of personal opinions.,Смешение моделей independent of и dependent on: в значении независимости требуется of.,REALEC
inferior to,inferior,to,prepositions,adjective_preposition,statistics,than,preposition_error,This translation is inferior than the original text.,This translation is to than the original text.,Смешение модели inferior to с конструкциями сравнительной степени типа better than / worse than.,REALEC
inferior to,inferior,to,prepositions,adjective_preposition,statistics,from,preposition_error,The new version of the app is inferior from the previous one.,The new version of the app is inferior to the previous one.,Неверный выбор предлога после прилагательного inferior: в значении сравнения требуется to.,REALEC
interested in,interested,in,prepositions,adjective_preposition,statistics,on,preposition_error,Many students are interested on modern technology and computer games.,Many students are interested in modern technology and computer games.,Смешение предлогов после прилагательного interested: под влиянием русской модели «интересоваться темой / по теме» учащийся может выбрать on.,REALEC
interested in,interested,in,prepositions,adjective_preposition,statistics,of,preposition_error,He has always been interested of history and old buildings.,He has always been interested in history and old buildings.,Неверный выбор предлога после прилагательного interested: в значении интереса к чему-либо требуется in.,REALEC
jealous of,jealous,of,prepositions,adjective_preposition,statistics,to,preposition_error,She was jealous to her friend because she got a better mark.,She was jealous of her friend because she got a better mark.,Смешение предлогов после прилагательного jealous: под влиянием русской модели «завидовать кому-либо» учащийся может выбрать to.,REALEC
kind to sb,kind,to,prepositions,adjective_preposition,statistics,with,preposition_error,Our teacher is always kind with students and tries to help them.,Our teacher is always kind to students and tries to help them.,Смешение предлогов после прилагательного kind: по аналогии с выражениями friendly with или good with учащийся может выбрать with.,REALEC
keen on (doing) sth,keen,on,prepositions,adjective_preposition,statistics,in,preposition_error,Many teenagers are keen in playing computer games after school.,Many teenagers are keen on playing computer games after school.,Смешение предлогов после прилагательного keen: под влиянием русской модели «заинтересован в» учащийся может выбрать in.,REALEC
keen on (doing) sth,keen,on,prepositions,adjective_preposition,statistics,of,preposition_error,My brother is keen of football and watches every match.,My brother is keen on football and watches every match.,Неверный выбор предлога после прилагательного keen: в значении увлечения требуется on.,REALEC
known as,known,as,prepositions,adjective_preposition,statistics,like,preposition_error,London is known like one of the most multicultural cities in Europe.,London is known as one of the most multicultural cities in Europe.,Смешение модели known as с русской моделью «известен как»: учащийся может выбрать like вместо as.,REALEC
known as,known,as,prepositions,adjective_preposition,statistics,for,preposition_error,This scientist is known for one of the founders of modern physics.,This scientist is known as one of the founders of modern physics.,"Смешение моделей known as и known for: здесь требуется значение «известный как», а не «известный благодаря чему-либо».",REALEC
mean to sb,mean,to,prepositions,adjective_preposition,statistics,for,preposition_error,This friendship means a lot for me because we have known each other for years.,This friendship means a lot to me because we have known each other for years.,Смешение предлогов после глагола mean: под влиянием русской модели «значить для кого-либо» учащийся может выбрать for.,REALEC
mean to sb,mean,to,prepositions,adjective_preposition,statistics,about,preposition_error,Her support means a lot about my family during difficult times.,Her support means a lot to my family during difficult times.,Неверный выбор предлога после глагола mean: в значении «иметь значение для кого-либо» требуется to.,REALEC
nervous about,nervous,about,prepositions,adjective_preposition,statistics,of,preposition_error,She was nervous of the interview and could not sleep well.,She was nervous about the interview and could not sleep well.,Неверный выбор предлога после прилагательного nervous: в значении тревоги по поводу события требуется about.,REALEC
patient with,patient,with,prepositions,adjective_preposition,statistics,to,preposition_error,A good teacher should be patient to students who make mistakes.,A good teacher should be patient with students who make mistakes.,Смешение предлогов после прилагательного patient: под влиянием русской модели «терпелив к кому-либо» учащийся может выбрать to.,REALEC
patient with,patient,with,prepositions,adjective_preposition,statistics,for,preposition_error,Parents should be patient for young children when they learn new things.,Parents should be patient with young children when they learn new things.,Неверный выбор предлога после прилагательного patient: в значении отношения к человеку требуется with.,REALEC
pleased with,pleased,with,prepositions,adjective_preposition,statistics,of,preposition_error,The teacher was pleased of my answer in the lesson.,The teacher was pleased with my answer in the lesson.,Неверный выбор предлога после прилагательного pleased: в значении «довольный чем-либо» требуется with.,REALEC
popular with,popular,with,prepositions,adjective_preposition,statistics,among,preposition_error,This social network is very popular among teenagers in my school.,This social network is very popular with teenagers in my school.,Смешение моделей popular with и popular among: в учебной модели справочника закрепляется popular with.,REALEC
popular with,popular,with,prepositions,adjective_preposition,statistics,for,preposition_error,Online games are popular for young people because they are easy to play.,Online games are popular with young people because they are easy to play.,Смешение значения популярности среди группы и причины популярности: после popular с группой людей требуется with.,REALEC
proud of,proud,of,prepositions,adjective_preposition,statistics,for,preposition_error,My parents are proud for my exam results.,My parents are proud of my exam results.,Смешение предлогов после прилагательного proud: под влиянием русской модели «гордиться за кого-либо / что-либо» учащийся может выбрать for.,REALEC
ready for,ready,for,prepositions,adjective_preposition,statistics,to,preposition_error,I am ready to the final exam because I have revised all the topics.,I am ready for the final exam because I have revised all the topics.,Смешение модели ready for + noun и конструкции ready to + verb.,REALEC
ready for,ready,for,prepositions,adjective_preposition,statistics,on,preposition_error,She was ready on the school trip and packed her bag in advance.,She was ready for the school trip and packed her bag in advance.,Смешение предлогов после прилагательного ready: под влиянием русской модели «готов к / на мероприятие» учащийся может выбрать on.,REALEC
relevant to,relevant,to,prepositions,adjective_preposition,statistics,with,preposition_error,This example is relevant with the topic of our discussion.,This example is relevant to the topic of our discussion.,Смешение предлогов после прилагательного relevant: под влиянием русской модели «связанный с темой» учащийся может выбрать with.,REALEC
relevant to,relevant,to,prepositions,adjective_preposition,statistics,for,preposition_error,The information was relevant for the main problem of the article.,The information was relevant to the main problem of the article.,Смешение моделей relevant to и relevant for: в данной модели требуется значение отношения к теме или проблеме.,REALEC
respected for,respected,for,prepositions,adjective_preposition,statistics,of,preposition_error,The teacher was respected of his patience and kindness.,The teacher was respected for his patience and kindness.,Неверный выбор предлога после respected: в значении причины уважения требуется for.,REALEC
respected for,respected,for,prepositions,adjective_preposition,statistics,with,preposition_error,She is respected with her hard work and responsibility.,She is respected for her hard work and responsibility.,"Смешение управления respected for с другими моделями, где используется with.",REALEC
responsible for,responsible,for,prepositions,adjective_preposition,statistics,of,preposition_error,Students should be responsible of their own learning.,Students should be responsible fortheir own learning.,Смешение предлогов после прилагательного responsible: под влиянием русской модели «ответственный за» учащийся может выбрать of.,REALEC
responsible for,responsible,for,prepositions,adjective_preposition,statistics,about,preposition_error,The teacher is responsible about organizing the school trip.,The teacher is responsible for organizing the school trip.,"Смешение модели responsible for с прилагательными, которые употребляются с about.",REALEC
serious about,serious,about,prepositions,adjective_preposition,statistics,in,preposition_error,Many students are serious in their preparation for the final exams.,Many students are serious about their preparation for the final exams.,Смешение предлогов после прилагательного serious: под влиянием русской модели «серьёзен в чём-либо» учащийся может выбрать in.,REALEC
serious about,serious,about,prepositions,adjective_preposition,,with,preposition_error,She is very serious with her future career and studies every day.,She is very serious about her future career and studies every day.,"Смешение управления serious about с другими моделями прилагательных, которые употребляются с with.",REALEC
shocked by,shocked,by ,prepositions,adjective_preposition,statistics,from,preposition_error,I was shocked from the news about the accident.,I was shocked by the news about the accident.,Смешение предлогов после прилагательного shocked: под влиянием русской модели «потрясён от чего-либо» учащийся может выбрать from.,REALEC
shocked by,shocked,by,prepositions,adjective_preposition,statistics,of,preposition_error,She was shocked of the story she heard from her friend.,She was shocked by the story she heard from her friend.,Неверный выбор предлога после прилагательного shocked: для указания причины потрясения в данной модели требуется by.,REALEC
shocked at,shocked,at,prepositions,adjective_preposition,statistics,on,preposition_error,Many people were shocked on the result of the experiment.,Many people were shocked at the result of the experiment.,Неверный выбор предлога после прилагательного shocked: для реакции на факт или результат в данной модели требуется at.,REALEC
shocked at,shocked,at,prepositions,adjective_preposition,statistics,about,preposition_error,The teacher was shocked about the students’ behaviour during the lesson.,The teacher was shocked at the students’ behaviour during the lesson.,"Смешение моделей shocked at и прилагательных, которые употребляются с about.",REALEC
similar to,similar,to,prepositions,adjective_preposition,statistics,as,preposition_error,This situation is similar as the problem we discussed yesterday.,This situation is similar to the problem we discussed yesterday.,Смешение модели similar to с конструкцией the same as.,REALEC
similar to,similar,to,prepositions,adjective_preposition,statistics,with,preposition_error,My answer was similar with my friend’s answer.,My answer was similar to my friend’s answer.,Смешение предлогов после прилагательного similar: под влиянием русской модели «схожий с» учащийся может выбрать with.,REALEC
sorry for sb,sorry,for,prepositions,adjective_preposition,statistics,to,preposition_error,She felt sorry to the old man who had lost his dog.,She felt sorry for the old man who had lost his dog.,Смешение конструкции say sorry to somebody и модели feel sorry for somebody.,REALEC
surprised at,surprised,at ,prepositions,adjective_preposition,statistics,on,preposition_error,The teacher was surprised on the result of the test.,The teacher was surprised at the result of the test.,Неверный выбор предлога после surprised: для реакции на факт или результат в данной модели требуется at.,REALEC
surprised by,surprised,by,prepositions,adjective_preposition,statistics,from,preposition_error,was surprised from the sudden change in his behaviour.,was surprised by the sudden change in his behaviour.,Смешение предлогов после surprised: под влиянием русской модели «удивлён от чего-либо» учащийся может выбрать from.,REALEC
surprised by,surprised,by,prepositions,adjective_preposition,statistics,of,preposition_error,She was surprised of the news about the competition.,She was surprised by the news about the competition.,Неверный выбор предлога после surprised: для указания причины удивления в данной модели требуется by.,REALEC
terrible at,terrible,at,prepositions,adjective_preposition,statistics,in,preposition_error,"I am terrible in maths, so I always ask my friend for help.","I am terrible at maths, so I always ask my friend for help.",Смешение предлогов после прилагательного terrible: под влиянием русской модели «плох в чём-либо» учащийся может выбрать in.,REALEC
terrible at,terrible,at,prepositions,adjective_preposition,statistics,with,preposition_error,She is terrible with remembering dates and names.,She is terrible at remembering dates and names.,"Смешение моделей terrible at something и конструкций с with: здесь речь идёт о виде деятельности, поэтому требуется at.",REALEC
terrified of,terrified,of,prepositions,adjective_preposition,statistics,from,preposition_error,Many children are terrified from big dogs in the street.,Many children are terrified of big dogs in the street.,Смешение предлогов после прилагательного terrified: под влиянием русской модели «бояться / быть испуганным от» учащийся может выбрать from.,REALEC
terrified of,terrified,of,prepositions,adjective_preposition,statistics,about,preposition_error,She was terrified about speaking in front of the whole class.,She was terrified of speaking in front of the whole class.,Смешение моделей terrified of и worried/anxious about: в значении сильного страха требуется of.,REALEC
tired of,tired,of,prepositions,adjective_preposition,statistics,from,preposition_error,I am tired from doing the same homework every day.,I am tired of doing the same homework every day.,Смешение предлогов после прилагательного tired: под влиянием русской модели «устал от чего-либо» учащийся может выбрать from.,REALEC
tired of,tired,of,prepositions,adjective_preposition,statistics,with,preposition_error,She was tired with listening to the same explanation again and again.,She was tired of listening to the same explanation again and again.,Неверный выбор предлога после прилагательного tired: в значении «надоело / устал от» требуется of.,REALEC
typical of,typical,of,prepositions,adjective_preposition,statistics,for,preposition_error,This mistake is typical for many Russian students learning English.,This mistake is typical of many Russian students learning English.,Смешение предлогов после прилагательного typical: под влиянием русской модели «типичный для» учащийся может выбрать for.,REALEC
accuse sb of,accuse,of,prepositions,verb_preposition,statistics,in,preposition_error,The teacher accused the student in cheating during the test.,The teacher accused the student of cheating during the test.,Смешение предлогов после глагола accuse: под влиянием русской модели «обвинять в» учащийся может выбрать in.,REALEC
accuse sb of,accuse,of,prepositions,verb_preposition,statistics,for,preposition_error,They accused him for breaking the school rules.,They accused him of breaking the school rules.,Смешение модели accuse somebody of something с выражением blame somebody for something.,REALEC
advise sb on sth,advise,on ,prepositions,verb_preposition,statistics,in,preposition_error,The teacher advised us in how to prepare for the English exam.,The teacher advised us on how to prepare for the English exam.,Смешение предлогов после глагола advise: под влиянием русской модели «советовать по / в вопросе» учащийся может выбрать in.,REALEC
advise sb on sth,advise,on ,prepositions,verb_preposition,statistics,for,preposition_error,The consultant advised students for choosing a university.,The consultant advised students on choosing a university.,Неверный выбор предлога после глагола advise: в значении консультации по вопросу требуется on.,REALEC
advise sb about sth,advise,about,prepositions,verb_preposition,statistics,in,preposition_error,The doctor advised her in a healthy diet.,The doctor advised her about a healthy diet.,Смешение предлогов после глагола advise: в данной модели требуется about.,REALEC
agree with sb,agree,with,prepositions,verb_preposition,statistics,to,preposition_error,I agree to my teacher because her explanation is very clear.,I agree with my teacher because her explanation is very clear.,"Смешение моделей agree with somebody и agree to something: здесь речь идёт о согласии с человеком, а не о принятии предложения или условий.",REALEC
agree with sb,agree,with,prepositions,verb_preposition,statistics,about,preposition_error,I agree about my friend on this question.,I agree with my friend on this question.,"Неверный выбор предлога после agree: при указании лица, с которым совпадает мнение, требуется with.",REALEC
disagree with sb,disagree,with,prepositions,verb_preposition,statistics,to,preposition_error,I disagree to my parents about the choice of university.,I disagree with my parents about the choice of university.,Смешение предлогов после disagree: при несогласии с человеком требуется with.,REALEC
disagree with sb,disagree,with,prepositions,verb_preposition,statistics,on,preposition_error,She disagreed on her classmates during the discussion.,She disagreed with her classmates during the discussion.,Смешение модели disagree with somebody и выражений типа agree/disagree on a topic.,REALEC
apologise to sb for sth,apologise to,for,prepositions,verb_preposition,statistics,about,preposition_error,She apologised to her friend about her rude words.,She apologised to her friend for her rude words.,Смешение управления apologise for something с моделями глаголов речи типа talk about something.,REALEC
apply to sb for sth,apply to,for,prepositions,verb_preposition,statistics,to,preposition_error,She applied to the university to a scholarship.,She applied to the university for a scholarship.,"Смешение адресата обращения и цели обращения: организация требует предлога to, а цель заявления — for.",REALEC
approve of,approve,of,prepositions,verb_preposition,statistics,with,preposition_error,My parents approve with my decision to study abroad.,My parents approve of my decision to study abroad.,Смешение модели approve of с выражением agree with: после approve в значении одобрения требуется of.,REALEC
approve of,approve,of,prepositions,verb_preposition,statistics,about,preposition_error,The teacher approved about our plan for the school project.,The teacher approved of our plan for the school project.,Неверный выбор предлога после глагола approve: в значении одобрения требуется of.,REALEC
disapprove of,disapprove,of,prepositions,verb_preposition,statistics,with,preposition_error,Many teachers disapprove with using phones during lessons.,Many teachers disapprove of using phones during lessons.,Смешение модели disapprove of с выражением disagree with: после disapprove требуется of.,REALEC
disapprove of,disapprove,of,prepositions,verb_preposition,statistics,for,preposition_error,His parents disapproved for his behaviour at school.,His parents disapproved of his behaviour at school.,Неверный выбор предлога после глагола disapprove: в значении неодобрения требуется of.,REALEC
arrive at а building,arrive,at,prepositions,verb_preposition,statistics,to,preposition_error,We arrived to the school building early in the morning.,We arrived at the school building early in the morning.,Смешение предлогов после глагола arrive: под влиянием русской модели «прибыть в/к месту» учащийся может выбрать to,REALEC
arrive at the hotel,arrive,at,prepositions,verb_preposition,statistics,in,preposition_error,The tourists arrived in the hotel before lunch.,The tourists arrived at the hotel before lunch.,Смешение моделей arrive at и arrive in: для здания или конкретной точки назначения требуется at.,REALEC
arrive in а city/country,arrive,in,prepositions,verb_preposition,statistics,to,preposition_error,We arrived to London late in the evening.,We arrived in London late in the evening.,Смешение предлогов после глагола arrive: под влиянием русской модели «приехать в город» учащийся может выбрать to.,REALEC
arrive in а city/country,arrive,in,prepositions,verb_preposition,statistics,at,preposition_error,They arrived at France after a long flight.,They arrived in France after a long flight.,Смешение моделей arrive at и arrive in: для страны или города требуется in.,REALEC
